author_a,author_b,author_a_name,author_b_name,papers_shared,weight_frac,both_faculty
autor_davidh_01,hanson_gordonh_01,David H. Autor,Gordon H. Hanson,15,6.083333,false
cesarini_david_01,laibson_david_01,David Cesarini,David Laibson,15,0.866955,false
chabris_christopherf_01,laibson_david_01,Christopher F. Chabris,David Laibson,15,2.257660,false
chernozhukov_victor_01,spindler_martin_01,Victor Chernozhukov,Martin Spindler,15,5.466667,false
cutler_davidm_01,glaeser_edwardl_01,David M. Cutler,Edward L. Glaeser,15,10.500000,true
dasgupta_partha_02,maskin_erics_01,Partha Dasgupta,Eric S. Maskin,15,12.458333,false
dorn_david_01,hanson_gordonh_01,David Dorn,Gordon H. Hanson,15,6.083333,false
loewenstein_george_01,prelec_drazen_01,George Loewenstein,Drazen Prelec,15,9.783333,false
obstfeld_maurice_01,rogoff_kenneth_01,Maurice Obstfeld,Kenneth Rogoff,15,11.583333,false
benjamin_danielj_01,cesarini_david_01,Daniel J. Benjamin,David Cesarini,14,0.840639,false
breza_emily_02,duflo_esther_01,Emily Breza,Esther Duflo),14,2.015859,false
caballero_ricardo_01,krishnamurthy_arvind_01,Ricardo Caballero,Arvind Krishnamurthy,14,14.000000,false
chandrasekhar_arung_02,duflo_esther_01,Arun G. Chandrasekhar,Esther Duflo),14,2.115859,false
chernozhukov_victor_01,kato_kengo_01,Victor Chernozhukov,Kengo Kato,14,6.250000,false
hart_oliver_01,zingales_luigi_01,Oliver Hart,Luigi Zingales,14,12.500000,false
johnson_simon_05,robinson_jamesa_01,Simon Johnson,James A. Robinson,14,6.000000,false
kling_jeffreyr_01,ludwig_jenso_02,Jeffrey R. Kling,Jens O Ludwig,14,3.140415,false
mullainathan_sendhil_01,obermeyer_ziad_01,Sendhil Mullainathan,Ziad Obermeyer),14,6.033333,false
angrist_joshuad_01,walters_christopherr_01,Joshua D. Angrist,Christopher R. Walters,13,4.000000,false
chetty_raj_01,saez_emmanuel_01,Raj Chetty,Emmanuel Saez,13,7.866667,false
cutler_davidm_01,ghosh_kaushik_01,David M. Cutler,Kaushik Ghosh,13,3.428968,false
cutler_davidm_01,landrum_marybeth_01,David M. Cutler,Mary Beth Landrum,13,4.559957,false
freeman_richardb_01,rogers_joel_01,Richard B. Freeman,Joel Rogers,13,13.000000,false
fryer_roland_01,levitt_stevend_01,Roland Fryer,Steven D. Levitt,13,9.333333,false
gabaix_xavier_01,laibson_david_01,Xavier Gabaix,David Laibson,13,8.166667,true
glaeser_edwardl_01,ponzetto_giacomoam_01,Edward L. Glaeser,Giacomo A. M. Ponzetto,13,8.333333,false
katz_lawrencef_01,ludwig_jenso_02,Lawrence F. Katz,Jens O Ludwig,13,2.432082,false
katz_lawrencef_01,sanbonmatsu_lisa_01,Lawrence F. Katz,Lisa Sanbonmatsu,13,1.908272,false
bryson_alex_01,freeman_richardb_01,Alex Bryson,Richard B. Freeman,12,8.833333,false
campbell_johny_03,shiller_robertj_01,John Y. Campbell,Robert J. Shiller,12,10.076923,false
campbell_johny_03,viceira_luism_01,John Y. Campbell,Luis M. Viceira,12,7.083333,false
cesarini_david_01,johannesson_magnus_01,David Cesarini,Magnus Johannesson,12,0.513621,false
chetverikov_denis_01,kato_kengo_01,Denis Chetverikov,Kengo Kato,12,5.250000,false
cutler_davidm_01,stewart_susant_04,David M. Cutler,Susan T. Stewart,12,3.719444,false
djankov_simeon_01,shleifer_andrei_01,Simeon Djankov,Andrei Shleifer,12,3.916667,false
ed_x_01,gruber_jonathan_01,ed.,Jonathan Gruber,12,2.223810,false
glaeser_edwardl_01,gyourko_joseph_01,Edward L. Glaeser,Joseph Gyourko,12,9.500000,false
helpman_elhanan_01,itskhoki_oleg_01,Elhanan Helpman,Oleg Itskhoki,12,6.916667,true
johannesson_magnus_01,laibson_david_01,Magnus Johannesson,David Laibson,12,0.513621,false
kling_jeffreyr_01,sanbonmatsu_lisa_01,Jeffrey R. Kling,Lisa Sanbonmatsu,12,1.783272,false
laffont_jeanjacques_01,maskin_erics_01,Jean-Jacques Laffont,Eric S. Maskin,12,10.033333,false
maskin_erics_01,tirole_jean_01,Eric S. Maskin,Jean Tirole,12,12.000000,false
pathak_paraga_01,unver_mutku_01,Parag A. Pathak,M. Utku Ünver,12,3.570635,false
shleifer_andrei_01,summers_lawrenceh_01,Andrei Shleifer,Lawrence H. Summers,12,7.000000,true
abadie_alberto_01,imbens_guidow_01,Alberto Abadie,Guido W. Imbens,11,7.833333,false
benjamin_danielj_01,johannesson_magnus_01,Daniel J. Benjamin,Magnus Johannesson,11,0.487306,false
blanchard_olivierj_01,summers_lawrenceh_01,Olivier J. Blanchard,Lawrence H. Summers,11,10.500000,false
cesarini_david_01,magnusson_patrikke_01,David Cesarini,Patrik K. E. Magnusson,11,0.482500,false
costinot_arnaud_01,donaldson_dave_01,Arnaud Costinot,Dave Donaldson,11,5.416667,true
cutler_davidm_01,meara_ellenr_01,David M. Cutler,Ellen R. Meara,11,6.950000,false
cutler_davidm_01,newhouse_josephp_02,David M. Cutler,Joseph P. Newhouse,11,3.742857,false
duflo_esther_01,olken_benjamina_01,Esther Duflo),Benjamin A. Olken,11,1.529894,false
duncan_gregj_01,katz_lawrencef_01,Greg J. Duncan,Lawrence F. Katz,11,1.432082,false
duncan_gregj_01,kessler_ronaldc_02,Greg J. Duncan,Ronald C. Kessler,11,1.432082,false
duncan_gregj_01,ludwig_jenso_02,Greg J. Duncan,Jens O Ludwig,11,1.432082,false
duncan_gregj_01,sanbonmatsu_lisa_01,Greg J. Duncan,Lisa Sanbonmatsu,11,1.432082,false
eds_x_01,gruber_jonathan_01,eds.,Jonathan Gruber,11,1.605159,false
freeman_richardb_01,katz_lawrencef_01,Richard B. Freeman,Lawrence F. Katz,11,9.500000,true
gibbons_robert_01,murphy_kevin_01,Robert Gibbons,Kevin Murphy,11,6.833333,false
gruber_jonathan_01,wise_davida_01,Jonathan Gruber,David A. Wise,11,1.909524,false
katz_lawrencef_01,kessler_ronaldc_02,Lawrence F. Katz,Ronald C. Kessler,11,1.432082,false
katz_lawrencef_01,krueger_alanb_01,Lawrence F. Katz,Alan B. Krueger,11,8.750000,false
kessler_ronaldc_02,ludwig_jenso_02,Ronald C. Kessler,Jens O Ludwig,11,1.432082,false
kessler_ronaldc_02,sanbonmatsu_lisa_01,Ronald C. Kessler,Lisa Sanbonmatsu,11,1.432082,false
laibson_david_01,magnusson_patrikke_01,David Laibson,Patrik K. E. Magnusson,11,0.482500,false
ludwig_jenso_02,sanbonmatsu_lisa_01,Jens O Ludwig,Lisa Sanbonmatsu,11,1.432082,false
poterba_jamesm_02,summers_lawrenceh_01,James M. Poterba,Lawrence H. Summers,11,7.666667,true
sonmez_tayfun_02,unver_mutku_01,Tayfun Sönmez,M. Utku Ünver,11,3.320635,false
acemoglu_daron_01,egorov_georgy_01,Daron Acemoglu,Georgy Egorov,10,5.000000,false
acemoglu_daron_01,sonin_konstantin_01,Daron Acemoglu,Konstantin Sonin,10,5.000000,false
angrist_joshuad_01,hull_peterd_01,Joshua D. Angrist,Peter D. Hull,10,3.950000,false
