Name,Position,Personal Website
Orley Ashenfelter,Joseph Douglas Green 1895 Professor of Economics,https://irs.princeton.edu/people/orley-c-ashenfelter
Anne C. Case,"Alexander Stewart 1886 Professor of Economics and Public Affairs, Emeritus",https://scholar.princeton.edu/accase
Gregory C. Chow,"Class of 1913 Professor of Political Economy, Emeritus. Professor of Economics, Emeritus",http://www.princeton.edu/~gchow/
Sir Angus S. Deaton,"Dwight D. Eisenhower Professor of International Affairs, Emeritus",https://scholar.princeton.edu/deaton
Avinash K. Dixit,"John J. F. Sherrerd '52 University Professor of Economics, Emeritus, and Senior Economist",http://www.princeton.edu/~dixitak/home/
Henry S. Farber,Hughes-Rogers Professor of Economics,https://irs.princeton.edu/people/henry-farber
Paul Krugman,"Professor of Economics and International Affairs, Emeritus",
Burton G. Malkiel,"Chemical Bank Chairman's Professor of Economics, Emeritus",
Richard E. Quandt,"Hughes-Rogers Professor of Economics, Emeritus",http://www.quandt.com/req.html
Thomas Romer,"Professor of Politics and Public Affairs, Emeritus",https://www.princeton.edu/csdp/people/display_person.xml?netid=romer
Harvey S. Rosen,"John L. Weinberg Professor of Economics and Business Policy, Emeritus",http://www.princeton.edu/~hsr
Michael Rothschild,"Professor of Economics and Public Affairs, Emeritus",https://spia.princeton.edu/faculty/mrothsch
José A. Scheinkman,"Theodore A. Wells '29 Professor of Economics, Emeritus",https://jascheinkman.com
Harold T. Shapiro,"President Emeritus, Professor of Economics and Public Affairs",https://scholar.princeton.edu/hts
